code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
CAN10025R;CORREA TIRRAP AMARRACABLES 100X2.5MM (4.0 IN) ROJA;16.000;PZA;15700;FERR.03;120;0,000;5.000;4.000
CAN14225;CORREA TIRRAP AMARRACABLE (5 IN) 142*2.5MM BLANCO;;PZA;100200;FERR.03;130;0,000;11.000;7.000
CAN14225N;CORREA TIRRAP AMARRACABLE (5 IN) 142*2.5MM NEGRO;;PZA;10870;FERR.03;130;0,000;13.000;7.000
CAN14232;CORREA TIRRAP AMARRACABLES 142X3.2MM (5.6 IN);32.000;PZA;0;FERR.03;130;0,000;23.000;12.000
CAN14232N;CORREA TIRRAP AMARRACABLES 142X3.2MM (5.6 IN) NEGRA;32.000;PZA;96700;FERR.03;130;0,000;18.000;12.000
CAN15025;CORREA TIRRAP AMARRACABLES 150X2.5MM (6.0 IN);32.000;PZA;0;FERR.03;140;0,000;13.000;7.000
CAN15025N;"CORREA TIRRAP AMARRACABLE 6"" 150MM X 2.5 MM NEGRA";32.000;PZA;5100;FERR.03;140;0,000;28.000;0,000
CAN15036;CORREA TIRRAP AMARRACABLE (6 IN) 150*3.6MM BLANCO;33.000;PZA;235500;FERR.03;140;0,000;14.000;12.000
CAN15036N;CORREA TIRRAP AMARRACABLE (6 IN) 150*3.6MM NEGRO;33.000;PZA;31500;FERR.03;140;0,000;16.000;12.000
CAN18040;CORREA TIRRAP AMARRACABLES 190X4.8MM (7.5 IN);;PZA;18400;FERR.03;150;0,000;23.000;15.000
CAN18040N;CORREA TIRRAP AMARRACABLES 190X4.8MM (7.5 IN) NEGRA;;PZA;16550;FERR.03;150;0,000;23.000;15.000
CAN20325;CORREA TIRRAP AMARRACABLE (8 IN) 203*2.5MM BLANCO;24.000;PZA;75900;FERR.03;160;0,000;16.000;9.000
