code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
GA004-16;CONECTOR INYECTOR ELECTRON VW/FORD;1.938;PZA;8;AUTO.06;1;0;0;0
GA004-17;CONECTOR INYECTOR ELECTRON HEMBRA;2.22;PZA;1;AUTO.06;1;0;0;0
GA004-18;CONECTOR BOBINA RAYADA CORSA AVEO LS ARAUCA DISTRIBUIDOR MATIZ/FESTIVA;2.77;PZA;195;AUTO.06;1;0;0;0
GA004-19;CONECTOR DISTRIBUIDOR TOYOTA C-730;2.988;PZA;21;AUTO.06;1;0;0;0
GA004-20;CONECTOR B/G RENAULT MEGANE / KANGOO TC-104.0434;2.074;PZA;0;AUTO.06;1;0;0;0
GA004-21;BOBINA TOYOTA 4.5 X4 VIAS 2.0MM (REF#DJ50);0;PZA;0;AUTO.06;1;0;0;0
GA005-01;CONECTOR STOP CHEVROLET (CHEVETE Y MONZA;1.728;PZA;0;AUTO.06;1;0;0;0
GA005-010;CONECTOR SWITCHE IGNICION SET DE 2 PIEZAS GM SQ-1787 (5);1.73;SET;5;AUTO.06;1;0;0;0
GA005-011;CONECTOR SOCATE RELAY 5 CONTACTOS AR-161 IVICA;2.37;PZA;170;AUTO.06;1;0;1.58;0
GA005-02;CONECTOR CONMUTADOR VIDRIOS ELECTRICOS G.M. (MALIBU. CAPRICE. MONTECARLO. IMPALA) 1 PASE;2.37;PZA;9;AUTO.06;1;0;0;0
GA005-03;CONECTOR MODULO DE CHRISLER 5 VIAS;0;PZA;0;AUTO.06;1;0;0;0
GA005-04;CONECTOR REGULADOR DE FORD ROJO;0;PZA;0;AUTO.06;1;0;0;0
GA005-05;CONECTOR MODULO FORD BRONCO DY425;5.82;PZA;38;AUTO.06;1;0;0;0
GA005-06;CONECTOR RELAY 4/5 PATAS CON BASE;1.944;PZA;20;AUTO.06;1;0;0;0
GA005-07;ARNES PORTA RELE DE 5 PATAS DE CERAMICA;1.944;PZA;0;AUTO.06;1;0;0.75;0
GA005-08;CONECTOR RELAY GM/DAEWOOD;1.944;PZA;9;AUTO.06;1;0;0;0
GA005-09;CONECTOR BOMBA DE GASOLINA CORSA /ASTRA 5 VIAS;4.22;PZA;100;AUTO.06;1;0;0;0
GA006-01;CONECTOR CONMUTADOR SWICHERA CHEVROLET;2.532;PZA;0;AUTO.06;1;0;0;0
GA006-012;CONECTOR INYECCION ELECTRONICA 85A-F10R (6);4.006;PZA;2;AUTO.06;1;0;0;0
GA006-013;CONECTOR MAQUINARA PESADA RET F1-282 (6);2.84;PZA;5;AUTO.06;1;0;0;0
GA006-014;CONECTOR VALVULA TEMPERATURA F1-2072 (6);2.35;PZA;-5;AUTO.06;1;0;0;0
GA006-015;CONECTOR CAMBIOLUZ FOR COUGA SQ-370 (6);2.28;PZA;10;AUTO.06;1;0;0;0
GA006-016;CONECTOR MODULO BLAZER CHEYENNE TBI DAEWOO CIELO ESPERO (PAR);0;PZA;0;AUTO.06;1;0;0;0
GA006-017;PORTA FUSIBLE UNIVERSAL 6 POSICIONES (FS-BXH-6);4.984;PZA;0;AUTO.06;1;0;0;0
GA006-02;CONECTOR CONMUTADOR VIDRIOS ELECTRICOS G.M. (MALIBU. CAPRICE. MONTECARLO. IMPALA) 2 PASES;4.32;PZA;36;AUTO.06;1;0;0;0
GA006-03;CONECTOR MODULO DE FORD (2 PIEZAS);1.15;SET;6;AUTO.06;1;0;0;0
GA006-04;CONECTOR SWICHERA IGNICION FORD (LS-110);1.86;PZA;10;AUTO.06;1;0;0;0
GA006-05;FUSIBLERA UNIVERSAL 6 FUSIBLES MODERNO CON CABLE;0;PZA;0;AUTO.06;1;0;0;0
GA006-06;CONECTOR JUEGO PARA MODULO BLAZER TBI/DAEWOO;0;PZA;0;AUTO.06;1;0;0;0
GA006-07;CONECTOR BOMBA GASOLINA CHEVROLET GM SPARK. AVEO. OPTRA;1.944;PZA;0;AUTO.06;1;0;0;0
GA006-08;CONECTOR INYECCION ELECTRONICA HEMBRA;2.592;PZA;4;AUTO.06;1;0;0;0
GA006-09;CONECTOR FAROS CIELO BOMBA DE GASOLINA EXTERNA KIA C-7061;1.728;PZA;0;AUTO.06;1;0;0;0
GA006-10;CONECTOR SENSOR FLUJO DE AIRE FIESTA/K DISTRIBUIDOR FORD MITSUBICHI TC-106.1033;3.108;PZA;0;AUTO.06;1;0;0;0
GA006-11;CONECTOR CONMUTADOR INYE VW/GOL HEMBRA TC-107-1193;2.225;PZA;0;AUTO.06;1;0;0;0
GA008-01;CONECTOR SWICHERA DE LUCES FORD;3.72;PZA;8;AUTO.06;1;0;0;0
GA008-02;CONECTOR UNIVERSAL 8 VIAS MACHO CON RETEN;0;PZA;0;AUTO.06;1;0;0;0
GA008-03;CONECTOR SWICHE LUCES G.M. HS99;0;PZA;0;AUTO.06;1;0;0;0
GA008-04;PORTA FUSIBLE MODERNO UNIVERSAL (8);5.652;PZA;11;AUTO.06;1;0;0;0
GA008-05;CONECTOR CUERPO DE ACELERACION DE SPARK;4.72;PZA;179;AUTO.06;1;0;0;0
GA009-01;CONECTOR SWICHERA DE LUCES CHEVROLET;3.24;PZA;0;AUTO.06;1;0;0;0
GA009-02;CONECTOR SWICHERA DE IGNICION CHEVROLET;2.333;PZA;0;AUTO.06;1;0;0;0
GA009-03;CONECTOR SWICHERA DE LUCES FORD;2.13;PZA;42;AUTO.06;1;0;0;0
