id;code;name;dpto_code;unit;current_stock;cost_max;photo_url;dpto_id;show;orden;cost_oferta;cost_mayor;cost_min;checked
4422;GA003-056;CONECTOR SOCATE H4 SILVIN HIGH HEAT AR-160HH IVICA;AUTO.90;PZA;271;2.9;GA003-056.jpg;96;t;1;0;1.933;0;f
4423;GA003-057;CONECTOR ALTERNADOR NUEVO COROLLA;AUTO.90;PZA;0;4;GA003-057.jpg;96;t;1;0;0;0;f
4424;GA003-06;SOCATE FORD BOMBILLO 1034 DE 2 CONTACTOS;AUTO.90;PZA;153;3.168;GA003-06.jpg;96;t;1;0;0;0;f
4425;GA003-07;CONECTOR BOBINA FORD BRONCO DG434;AUTO.90;PZA;31;6.624;GA003-07.jpg;96;t;1;0;0;0;f
4426;GA003-08;CONECTOR PRESION AIRE ACONDICIONADO CHEVROLET 3 PINES MACHO RANURA LADO;AUTO.90;PZA;0;3.904;GA003-08.jpg;96;t;1;0;0;0;f
4427;GA003-09;CONECTOR ALTERNADOR GENERAL MOTOR CENTURY F.I. CS130;AUTO.90;PZA;0;4.373;GA003-09.jpg;96;t;1;0;0;0;f
4428;GA003-11;CONECTOR SENSOR AIRE MASS G.M. 85/96;AUTO.90;PZA;10;2.48;GA003-11.jpg;96;t;1;0;0;0;f
4429;GA003-12;CONECTOR SENSOR MAP CHEVROLET 3 PINES MACHO RANURA ABAJO;AUTO.90;PZA;1;3.488;GA003-12.jpg;96;t;1;0;0;0;f
4430;GA003-14;CONECTOR SENSOR VELOCIDAD MINIMA G.M. GRIS;AUTO.90;PZA;0;2.68;GA003-14.jpg;96;t;1;0;0;0;f
4431;GA003-15;CONECTOR REGULADOR FORD 2G/3G;AUTO.90;PZA;5;6.96;GA003-15.jpg;96;t;1;0;0;0;f
4432;GA003-16;ARNES PORTA BOMBILLO 9004-9007 DE CERAMICA;AUTO.90;PZA;79;1.693;GA003-16.jpg;96;t;1;0;0;0;f
4433;GA003-17;ARNES PORTA BOMBILLO SEAL BEAM (H4) DE CERAMICA;AUTO.90;PZA;359;1.405;GA003-17.jpg;96;t;1;0;1.307;0;f
4434;GA003-18;CONECTOR ADAPTADOR ALTERNADOR TOYOTA 2 CONTACTOS;AUTO.90;PZA;0;2.973;GA003-18.jpg;96;t;1;0;0;0;f
4435;GA003-19;CONECTOR ADAPTADOR ALTERNADOR NIPPON/ MITSUBISHI 3 CONTACTO;AUTO.90;PZA;1;3.027;GA003-19.jpg;96;t;1;0;0;0;f
4436;GA003-21;CONECTOR ALTERNADOR TOYOTA COROLLA 3 CABLES;AUTO.90;PZA;-5;3.795;GA003-21.jpg;96;t;1;0;0;0;f
4437;GA003-22;CONECTOR REGULADOR ALTERNADOR FIESTA;AUTO.90;PZA;75;3.451;GA003-22.jpg;96;t;1;0;0;0;f
4438;GA003-23;CONECTOR SENSOR MAP CORSA/CIELO/LANOS 3 PINES;AUTO.90;PZA;0;3.413;GA003-23.jpg;96;t;1;0;0;0;f
4439;GA003-24;CONECTOR ELECTRO VENTILADOR VW;AUTO.90;PZA;0;4.752;GA003-24.jpg;96;t;1;0;0;0;f
4440;GA003-25;CONECTOR SENSOR BOBINA TPS FORD FIESTA/KA;AUTO.90;PZA;0;4.2;GA003-25.jpg;96;t;1;0;0;0;f
4441;GA003-27;CONECTOR ELECTROVENTILADOR OPTRA/BLAZER/VEPTRA/CORSA 1.8;AUTO.90;PZA;-1;3.568;GA003-27.jpg;96;t;1;0;0;0;f
4442;GA003-33;CONECTOR PORTA BOMBILLO 9008/H13 CERAMICA;AUTO.90;PZA;3;4.44;GA003-33.jpg;96;t;1;0;3.573;0;f
4443;GA003-37;CONECTOR ELECTRO VENTILADOR STEEM C-740;AUTO.90;PZA;8;2.56;GA003-37.jpg;96;t;1;0;0;0;f
4444;GA003-38;CONECTOR 3 VIAS IAC HYUNDAI ACCENT GETZ ELANTRA TUCSON KIA RIO;AUTO.90;PZA;0;2.173;GA003-38.jpg;96;t;1;0;1.92;0;f
