code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
SF14Z500;"ANILLO TUBULAR 45º 1/2"" AWG 1/0";0;PZA;0;FERR.99;1;0;0;0
SF15Z375;"ANILLO TUBULAR 45º 3/8"" AWG 2/0";0;PZA;0;FERR.99;1;0;0;0
SF15Z500;"ANILLO TUBULAR 45º 1/2"" AWG 2/0";0;PZA;0;FERR.99;1;0;0;0
SG10Z079;CONECTOR TOPE AWG 8 (L20MM);0.84;PZA;0;FERR.27;1;0;0.7;0
SG11Z158;CONECTOR TOPE AWG 6 (L40MM);1.6;PZA;0;FERR.27;1;0;1.26;0
SG12Z177;CONECTOR TOPE AWG 4 (L45MM);2.267;PZA;0;FERR.27;1;0;1.951;0
SG13Z177;CONECTOR TOPE AWG 2 (L45MM);2.533;PZA;505;FERR.27;1;0;2.431;1.305
SG14Z177;CONECTOR TOPE AWG 1/0 (L45MM);3.98;PZA;375;FERR.27;1;0;3.375;1.728
SG15Z197;CONECTOR TOPE AWG 2/0 (L50MM);4.74;PZA;280;FERR.27;1;0;4.005;2.465
SG16Z197;CONECTOR TOPE AWG 3/0 (L50MM);5.58;PZA;275;FERR.27;1;0;4.74;3.572
SG17Z197;CONECTOR TOPE AWG 4/0 (L55MM);6.78;PZA;145;FERR.27;1;0;5.745;4.855
SG18Z217;CONECTOR TOPE AWG 250 MCM (L60MM);9.32;PZA;145;FERR.27;1;0;7.891;5.944
SG22Z999;CONECTOR TOPE AWG 350 MCM;25;PZA;0;FERR.27;1;0;21.82;0
SG24Z230;CONECTOR TOPE AWG 500 MCM (L85MM).;55.66;PZA;6;FERR.27;1;0;50.6;0
SG27Z250;CONECTOR TOPE AWG 750 MCM (L120MM);51.12;PZA;0;FERR.27;1;0;43.32;0
SH11Z250;"ANILLO TUBULAR 2 HUECOS 1/4"" AWG 6 SQ14 SIN AISLAR ESTAÑADO";2.816;PZA;0;FERR.26;3;0;2.125;0
SH12Z312;"ANILLO TUBULAR 2 HUECOS 5/16"" AWG 4 SQ22 SIN AISLAR ESTAÑADO";5.373;PZA;69;FERR.26;3;0;4.056;2.333
SH13Z375;"ANILLO TUBULAR 2 HUECOS 3/8"" AWG 2 SQ38 SIN AISLAR ESTAÑADO";6.768;PZA;1861;FERR.26;3;0;5.109;2.333
SH13Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 2 SQ38 SIN AISLAR ESTAÑADO";0;PZA;2;FERR.26;3;0;0;0
SH14Z375;"ANILLO TUBULAR 2 HUECOS 3/8"" AWG 1/0 SQ60 SIN AISLAR ESTAÑADO";9.507;PZA;-2;FERR.26;3;0;7.176;0
SH14Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 1/0 SQ60 SIN AISLAR ESTAÑADO";10.231;PZA;0;FERR.26;3;0;9.439;0
SH15Z375;"ANILLO TUBULAR 2 HUECOS 3/8"" AWG 2/0 SQ70 SIN AISLAR ESTAÑADO";10.721;PZA;0;FERR.26;3;0;8.092;0
SH15Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 2/0 SQ70 SIN AISLAR ESTAÑADO";14.028;PZA;0;FERR.26;3;0;10.588;0
